"initial_alias","converted_alias","name","description","namespace"
"MMP7","ENSG00000137673","MMP7","matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASCC3","ENSG00000112249","ASCC3","activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL48","ENSG00000175581","MRPL48","mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADRM1","ENSG00000130706","ADRM1","ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPAP3","ENSG00000005175","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DONSON","ENSG00000159147","DONSON","DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FASTKD2","ENSG00000118246","FASTKD2","FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HMGB3","ENSG00000029993","HMGB3","high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPKAP1","ENSG00000119487","MAPKAP1","MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RTL10","ENSG00000215012","RTL10","retrotransposon Gag like 10 [Source:HGNC Symbol;Acc:HGNC:26112]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD54B","ENSG00000197275","RAD54B","RAD54 homolog B [Source:HGNC Symbol;Acc:HGNC:17228]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R35","ENSG00000160813","PPP1R35","protein phosphatase 1 regulatory subunit 35 [Source:HGNC Symbol;Acc:HGNC:28320]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CEBPZ","ENSG00000115816","CEBPZ","CCAAT enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EVPL","ENSG00000167880","EVPL","envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UTP6","ENSG00000108651","UTP6","UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMMECR1","ENSG00000101935","AMMECR1","AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DARS2","ENSG00000117593","DARS2","aspartyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25538]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RSL24D1","ENSG00000137876","RSL24D1","ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18479]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM243","ENSG00000135185","TMEM243","transmembrane protein 243 [Source:HGNC Symbol;Acc:HGNC:21707]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AIMP2","ENSG00000106305","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS15","ENSG00000116898","MRPS15","mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMA3","ENSG00000100567","PSMA3","proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRM","ENSG00000116649","SRM","spermidine synthase [Source:HGNC Symbol;Acc:HGNC:11296]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF281","ENSG00000162702","ZNF281","zinc finger protein 281 [Source:HGNC Symbol;Acc:HGNC:13075]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS26","ENSG00000125901","MRPS26","mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UCHL5","ENSG00000116750","UCHL5","ubiquitin C-terminal hydrolase L5 [Source:HGNC Symbol;Acc:HGNC:19678]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF24","ENSG00000186638","KIF24","kinesin family member 24 [Source:HGNC Symbol;Acc:HGNC:19916]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS28","ENSG00000147586","MRPS28","mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAA20","ENSG00000173418","NAA20","N-alpha-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MMP3","ENSG00000149968","MMP3","matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHB2","ENSG00000133216","EPHB2","EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R14B","ENSG00000173457","PPP1R14B","protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCT8","ENSG00000156261","CCT8","chaperonin containing TCP1 subunit 8 [Source:HGNC Symbol;Acc:HGNC:1623]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AGTRAP","ENSG00000177674","AGTRAP","angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF3C3","ENSG00000119041","GTF3C3","general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC1A5","ENSG00000105281","SLC1A5","solute carrier family 1 member 5 [Source:HGNC Symbol;Acc:HGNC:10943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NMD3","ENSG00000169251","NMD3","NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTCAP3","ENSG00000157992","KRTCAP3","keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GGCT","ENSG00000006625","GGCT","gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC25C","ENSG00000158402","CDC25C","cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPF3B","ENSG00000125351","UPF3B","UPF3B regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20439]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CIAPIN1","ENSG00000005194","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","ENSG00000090861","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"F12","ENSG00000131187","F12","coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LARS1","ENSG00000133706","LARS1","leucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCTS1","ENSG00000232119","MCTS1","MCTS1 re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF3E","ENSG00000104408","EIF3E","eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TESC","ENSG00000088992","TESC","tescalcin [Source:HGNC Symbol;Acc:HGNC:26065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRMT112","ENSG00000173113","TRMT112","tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRMT3","ENSG00000185238","PRMT3","protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNHIT6","ENSG00000117174","ZNHIT6","zinc finger HIT-type containing 6 [Source:HGNC Symbol;Acc:HGNC:26089]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM133B","ENSG00000234545","FAM133B","family with sequence similarity 133 member B [Source:HGNC Symbol;Acc:HGNC:28629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AXIN2","ENSG00000168646","AXIN2","axin 2 [Source:HGNC Symbol;Acc:HGNC:904]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFAND1","ENSG00000104231","ZFAND1","zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TICRR","ENSG00000140534","TICRR","TOPBP1 interacting checkpoint and replication regulator [Source:HGNC Symbol;Acc:HGNC:28704]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR18","ENSG00000065268","WDR18","WD repeat domain 18 [Source:HGNC Symbol;Acc:HGNC:17956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPZ1","ENSG00000111481","COPZ1","COPI coat complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRSF1","ENSG00000136450","SRSF1","serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCERG1","ENSG00000113649","TCERG1","transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"MID1IP1","ENSG00000165175","MID1IP1","MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HYAL3","ENSG00000186792","HYAL3","hyaluronidase 3 [Source:HGNC Symbol;Acc:HGNC:5322]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HYAL3","ENSG00000243477","NAA80","N-alpha-acetyltransferase 80, NatH catalytic subunit [Source:HGNC Symbol;Acc:HGNC:30252]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTLL4","ENSG00000135912","TTLL4","tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRM2","ENSG00000122687","MRM2","mitochondrial rRNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16352]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRM2","ENSG00000286192","None","Novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZZZ3","ENSG00000036549","ZZZ3","zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCND1","ENSG00000110092","CCND1","cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSUN2","ENSG00000037474","NSUN2","NOP2/Sun RNA methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25994]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM72D","ENSG00000215784","FAM72D","family with sequence similarity 72 member D [Source:HGNC Symbol;Acc:HGNC:33593]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM72D","ENSG00000263513","FAM72C","family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NT5DC2","ENSG00000168268","NT5DC2","5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCAPD2","ENSG00000010292","NCAPD2","non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP188","ENSG00000095319","NUP188","nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE1","ENSG00000214078","CPNE1","copine 1 [Source:HGNC Symbol;Acc:HGNC:2314]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBAP2","ENSG00000137073","UBAP2","ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACLY","ENSG00000131473","ACLY","ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOL6","ENSG00000165271","NOL6","nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF39","ENSG00000137135","ARHGEF39","Rho guanine nucleotide exchange factor 39 [Source:HGNC Symbol;Acc:HGNC:25909]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"METTL5","ENSG00000138382","METTL5","methyltransferase 5, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:25006]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FJX1","ENSG00000179431","FJX1","four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRRD","ENSG00000100104","SRRD","SRR1 domain containing [Source:HGNC Symbol;Acc:HGNC:33910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHTOP","ENSG00000160679","CHTOP","chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRNT1","ENSG00000072756","TRNT1","tRNA nucleotidyl transferase 1 [Source:HGNC Symbol;Acc:HGNC:17341]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF1AX","ENSG00000173674","EIF1AX","eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLAU","ENSG00000122861","PLAU","plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM267","ENSG00000151881","TMEM267","transmembrane protein 267 [Source:HGNC Symbol;Acc:HGNC:26139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRSF2","ENSG00000161547","SRSF2","serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DIMT1","ENSG00000086189","DIMT1","DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSX1","ENSG00000163132","MSX1","msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUD23","ENSG00000071462","BUD23","BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTGES3","ENSG00000110958","PTGES3","prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TOP1MT","ENSG00000184428","TOP1MT","DNA topoisomerase I mitochondrial [Source:HGNC Symbol;Acc:HGNC:29787]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADSL","ENSG00000239900","ADSL","adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP2","ENSG00000106144","CASP2","caspase 2 [Source:HGNC Symbol;Acc:HGNC:1503]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTFR2","ENSG00000146410","MTFR2","mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORC3","ENSG00000135336","ORC3","origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL35A","ENSG00000182899","RPL35A","ribosomal protein L35a [Source:HGNC Symbol;Acc:HGNC:10345]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOP14","ENSG00000087269","NOP14","NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRAT1","ENSG00000106009","BRAT1","BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAS1L","ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NA","None","None","None",""
"COMMD10","ENSG00000145781","COMMD10","COMM domain containing 10 [Source:HGNC Symbol;Acc:HGNC:30201]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOD2","ENSG00000291237","SOD2","superoxide dismutase 2 [Source:HGNC Symbol;Acc:HGNC:11180]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMB4","ENSG00000159377","PSMB4","proteasome 20S subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:9541]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSPT1","ENSG00000103342","GSPT1","G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM165","ENSG00000134851","TMEM165","transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GRINA","ENSG00000178719","GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL16","ENSG00000166902","MRPL16","mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:HGNC:14476]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF770","ENSG00000198146","ZNF770","zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTI1","ENSG00000101407","TTI1","TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CUL4A","ENSG00000139842","CUL4A","cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBQLN4","ENSG00000160803","UBQLN4","ubiquilin 4 [Source:HGNC Symbol;Acc:HGNC:1237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COPS8","ENSG00000198612","COPS8","COP9 signalosome subunit 8 [Source:HGNC Symbol;Acc:HGNC:24335]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF2S3","ENSG00000130741","EIF2S3","eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFRSF12A","ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF35","ENSG00000143793","C1orf35","chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CDK5","ENSG00000164885","CDK5","cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMNDC1","ENSG00000119953","SMNDC1","survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPY19L4","ENSG00000156162","DPY19L4","dpy-19 like 4 [Source:HGNC Symbol;Acc:HGNC:27829]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MKI67","ENSG00000148773","MKI67","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RECQL4","ENSG00000160957","RECQL4","RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHORDC1","ENSG00000110172","CHORDC1","cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDF2","ENSG00000129667","RHBDF2","rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HDGF","ENSG00000143321","HDGF","heparin binding growth factor [Source:HGNC Symbol;Acc:HGNC:4856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FOCAD","ENSG00000188352","FOCAD","focadhesin [Source:HGNC Symbol;Acc:HGNC:23377]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TM9SF4","ENSG00000101337","TM9SF4","transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POMP","ENSG00000132963","POMP","proteasome maturation protein [Source:HGNC Symbol;Acc:HGNC:20330]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAPKAPK3","ENSG00000114738","MAPKAPK3","MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR5","ENSG00000196363","WDR5","WD repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:12757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SS18L1","ENSG00000184402","SS18L1","SS18L1 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:15592]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK7","ENSG00000134058","CDK7","cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALG5","ENSG00000120697","ALG5","ALG5 dolichyl-phosphate beta-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20266]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL8","ENSG00000161016","RPL8","ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM123","ENSG00000152558","TMEM123","transmembrane protein 123 [Source:HGNC Symbol;Acc:HGNC:30138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THNSL1","ENSG00000185875","THNSL1","threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KICS2","ENSG00000174206","KICS2","KICSTOR subunit 2 [Source:HGNC Symbol;Acc:HGNC:26517]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM63A","ENSG00000196187","TMEM63A","transmembrane protein 63A [Source:HGNC Symbol;Acc:HGNC:29118]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDELR3","ENSG00000100196","KDELR3","KDEL endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:HGNC:6306]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
